user_id;idade;sexo;renda_mensal;renda_mensal_imputada;numero_dependentes;dependentes_imputados;faixa_etaria;faixa_salarial;salario_por_dependente;default_flag;historico_default;qtd_emprestimos_ativos;qtd_tipos_emprestimo;tipos_emprestimo;qtd_real_estate;qtd_other;possui_emprestimo_ativo;atraso_30_59;atraso_60_89;atraso_90_plus;total_atrasos;debt_ratio;uso_linhas_sem_garantia;historico_atrasos_flag;indice_risco_credito;score_risco_total;quartil_risco;faixa_risco_historico;previsao_default;idade_outlier_flag;renda_outlier_flag;debt_ratio_outlier_flag;uso_linhas_outlier_flag;nome_cliente;iniciais;cliente_desde;primeiro_nome
24;53;F;9939;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;12;2;other, real_estate;1;11;1;0;0;0;0;0,4078;0,4635;0;0,6702;2,1669;2;Moderado;Bom pagador;0;0;0;0;Fl via Silva Silva;FS;jan/23;Fl via
25;59;M;7930;0;2;0;Adultos (31-59 anos);Alta;3965;0;Sem hist¢rico de inadimplˆncia;5;2;other, real_estate;1;4;1;0;0;0;0;0,2389;0,3859;0;1,0415;1,8682;2;Moderado;Bom pagador;0;0;0;0;Arthur Silva Silva;AS;fev/23;Arthur
26;55;F;5562;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;11;2;other, real_estate;1;10;1;0;0;0;0;0,3027;0,2102;0;0,4274;1,8155;2;Moderado;Bom pagador;0;0;0;0;Helo¡sa Silva Silva;HS;mar/23;Helo¡sa
27;76;M;2500;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;15;2;other, real_estate;1;14;1;0;0;0;0;0,0432;0,0219;0;0,0407;1,7687;1;Baixo;Bom pagador;0;0;0;0;Bernardo Silva Silva;BS;abr/23;Bernardo
28;56;M;2835;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;11;2;other, real_estate;2;9;1;0;0;0;0;0,8932;0,0174;0;0,7588;1,9503;2;Moderado;Bom pagador;0;0;0;0;Ot vio Silva Silva;OS;mai/23;Ot vio
29;43;M;5833;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;1;7;1;4;3;1;8;0,4925;0,0015;1;7,6599;5,7453;4;Muito alto;Bom pagador;0;0;0;0;Heitor Silva Silva;HS;jun/23;Heitor
30;31;F;8160;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;2;5;1;0;0;0;0;0,5324;0,1861;0;0,8982;2,2372;2;Moderado;Bom pagador;0;0;0;0;Manuela Silva Silva;MS;jul/23;Manuela
31;74;M;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;3;5;1;0;0;0;0;2835;0,1968;0;3150,2186;5,6925;4;Muito alto;Bom pagador;0;0;0;0;Pietro Silva Silva;PS;ago/23;Pietro
32;67;M;6862;0;0;0;Sˆnior (60+);Alta;;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;1;6;1;0;0;0;0;0,0758;0,0228;0;0,1233;2,5066;1;Baixo;Bom pagador;0;0;0;0;Yuri Silva Silva;YS;set/23;Yuri
33;63;F;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;9;2;other, real_estate;1;8;1;0;0;0;0;4945;0,4571;0;4945,4571;6,4304;4;Muito alto;Bom pagador;0;0;1;0;Priscila Silva Silva;PS;out/23;Priscila
34;62;M;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;2;other, real_estate;1;3;1;0;0;0;0;1565;0;0;3130;5,6106;4;Muito alto;Bom pagador;0;0;0;0;Igor Silva Silva;IS;nov/23;Igor
35;57;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;1;5;1;0;0;0;0;1243;0,1888;0;1775,9841;5,6925;4;Muito alto;Bom pagador;0;0;0;0;Renato Silva Silva;RS;dez/23;Renato
36;72;F;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;1;7;1;0;0;0;0;1221;0,0714;0;1356,746;5,5696;4;Muito alto;Bom pagador;0;0;0;0;Tain  Silva Silva;TS;jan/24;Tain 
37;69;M;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;0;0;0;0;6;0,0091;0;12,0181;5,5403;4;Muito alto;Bom pagador;0;0;0;0;C‚sar Silva Silva;CS;fev/24;C‚sar
38;67;F;4453;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;1;other;0;8;1;0;0;0;0;0,0759;0,1901;0;0,2955;1,9912;1;Baixo;Bom pagador;0;0;0;0;Aline Silva Silva;AS;mar/24;Aline
39;50;F;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;2;other, real_estate;1;3;1;0;0;0;0;2104;0,7133;0;4209,4266;9,2416;4;Muito alto;Mau pagador;0;0;0;0;Bruna Silva Silva;BS;abr/24;Bruna
40;49;M;5866;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;2;other, real_estate;1;2;1;0;0;0;0;0,1285;0,0268;0;0,3882;1,7687;1;Baixo;Bom pagador;0;0;0;0;Alan Silva Silva;AS;mai/24;Alan
41;62;F;6500;0;0;0;Sˆnior (60+);Alta;;0;Sem hist¢rico de inadimplˆncia;16;2;other, real_estate;3;13;1;3;2;0;5;0,8177;0,1885;1;5,2978;6,5651;4;Muito alto;Bom pagador;0;0;0;0;Daiane Silva Silva;DS;jun/24;Daiane
42;34;M;5800;0;4;0;Adultos (31-59 anos);M‚dia;1450;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;1;0;0;1;0,0912;1;1;2,9824;6,5476;3;Alto;Bom pagador;0;0;0;0;Breno Silva Silva;BS;jul/24;Breno
43;59;M;5416;0;1;0;Adultos (31-59 anos);M‚dia;5416;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;1;5;1;1;0;0;1;0,2232;0;1;1,176;2,0557;3;Alto;Bom pagador;0;0;0;0;CauÆ Silva Silva;CS;ago/24;CauÆ
44;46;F;3732;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;0;0;0;0;0,1098;0,1658;0;0,5512;1,9209;2;Moderado;Bom pagador;0;0;0;0;Geovana Silva Silva;GS;set/24;Geovana
45;54;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;11;2;other, real_estate;1;10;1;0;0;0;0;1634;0,446;0;1362,0383;5,7628;4;Muito alto;Bom pagador;0;0;0;0;Cl udio Silva Silva;CS;out/24;Cl udio
46;73;F;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;11;1;other;0;11;1;0;0;0;0;56;0,0268;0;46,689;5,6106;4;Muito alto;Bom pagador;0;0;0;0;J‚ssica Silva Silva;JS;nov/24;J‚ssica
47;49;M;8900;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;2;6;1;0;0;0;0;0,3005;0,0229;0;0,3594;1,7336;1;Baixo;Bom pagador;0;0;0;0;Elias Silva Silva;ES;dez/24;Elias
48;53;M;4166;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;16;1;other;0;16;1;0;0;0;0;0,1423;0,0549;0;0,116;1,798;1;Baixo;Bom pagador;0;0;0;0;Fernando Silva Silva;FS;jan/21;Fernando
49;83;M;4694;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;1;7;1;0;0;0;0;0,1766;0,0001;0;0,1963;2,4012;1;Baixo;Bom pagador;0;0;0;0;J£lio Silva Silva;JS;fev/21;J£lio
50;34;F;1000;0;0;0;Adultos (31-59 anos);Baixa;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;2;6;1;0;0;0;0;2,5275;0,0934;0;2,9121;2,1787;3;Alto;Bom pagador;0;0;0;0;Paula Silva Silva;PS;mar/21;Paula
51;65;M;3750;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;0,0221;0,0793;0;0,2536;1,798;1;Baixo;Bom pagador;0;0;0;0;M rcio Silva Silva;MS;abr/21;M rcio
52;72;M;5866;0;1;0;Sˆnior (60+);M‚dia;5866;0;Sem hist¢rico de inadimplˆncia;17;2;other, real_estate;2;15;1;2;0;0;2;0,2744;0,0402;1;2,0637;2,0147;3;Alto;Bom pagador;0;0;0;0;Nicolas Silva Silva;NS;mai/21;Nicolas
53;84;F;3001;0;1;0;Sˆnior (60+);M‚dia;3001;0;Sem hist¢rico de inadimplˆncia;5;1;other;0;5;1;0;0;0;0;0,0033;0,0102;0;0,0226;1,8214;1;Baixo;Bom pagador;0;0;0;0;Talita Silva Silva;TS;jun/21;Talita
54;71;M;6000;0;1;0;Sˆnior (60+);M‚dia;6000;0;Sem hist¢rico de inadimplˆncia;11;1;other;0;11;1;0;0;0;0;0,3093;0,6865;0;0,8298;5,4173;2;Moderado;Bom pagador;0;0;0;0;S‚rgio Silva Silva;SS;jul/21;S‚rgio
55;56;M;12000;0;1;0;Adultos (31-59 anos);Alta;12000;0;Sem hist¢rico de inadimplˆncia;4;2;other, real_estate;1;3;1;0;0;0;0;0,0379;0,0668;0;0,2094;1,7804;1;Baixo;Bom pagador;0;0;0;0;Tadeu Silva Silva;TS;ago/21;Tadeu
56;41;F;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;0;0;sem_emprestimo;0;0;0;0;0;0;0;0;1;0;10;9,2006;4;Muito alto;Mau pagador;0;0;0;0;Z‚lia Silva Silva;ZS;set/21;Z‚lia
57;45;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;1;6;1;2;0;0;2;5338;0,627;1;6675,0337;9,3119;4;Muito alto;Mau pagador;0;0;1;0;William Silva Silva;WS;out/21;William
58;65;F;5400;1;0;1;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;9;2;other, real_estate;1;8;1;0;0;0;0;1795;0,014;0;1795,014;6,2782;4;Muito alto;Bom pagador;0;0;0;0;Lorena Silva Silva;LS;nov/21;Lorena
59;57;F;5400;1;0;1;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;0;0;sem_emprestimo;0;0;0;0;0;0;0;0;1;0;10;9,1303;4;Muito alto;Mau pagador;0;0;0;0;Mirela Silva Silva;MS;dez/21;Mirela
60;50;M;5000;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;15;1;other;0;15;1;0;0;0;0;0,029;0,1827;0;0,1323;1,9209;1;Baixo;Bom pagador;0;0;0;0;Gabriel Santos Silva;GS;jan/22;Gabriel
61;49;F;6600;0;2;0;Adultos (31-59 anos);Alta;3300;0;Sem hist¢rico de inadimplˆncia;15;2;other, real_estate;5;10;1;0;0;0;0;0,8791;0,0228;0;0,5637;1,9327;2;Moderado;Bom pagador;0;0;0;0;Beatriz Santos Silva;BS;fev/22;Beatriz
62;88;M;5400;1;0;1;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;36;0,0582;0;90,1456;5,4993;4;Muito alto;Bom pagador;0;0;0;0;Mateus Santos Silva;MS;mar/22;Mateus
63;79;M;4273;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;6;1;other;0;6;1;0;0;0;0;0,2562;0,2002;0;0,6521;1,8858;2;Moderado;Bom pagador;0;0;0;0;Pedro Santos Silva;PS;abr/22;Pedro
64;48;F;15000;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;12;2;other, real_estate;5;7;1;0;0;0;0;0,5397;1;0;1,1844;6,126;3;Alto;Bom pagador;0;0;0;0;Eduarda Santos Silva;ES;mai/22;Eduarda
65;37;M;6232;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;0,0294;0,1798;0;0,523;1,9912;2;Moderado;Bom pagador;0;0;0;0;Rafael Santos Silva;RS;jun/22;Rafael
66;59;F;3213;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;17;2;other, real_estate;1;16;1;1;0;0;1;0,5286;0,0618;1;1,2725;2,3134;3;Alto;Bom pagador;0;0;0;0;Gabriela Santos Silva;GS;jul/22;Gabriela
67;55;M;10916;0;1;0;Adultos (31-59 anos);Alta;10916;0;Sem hist¢rico de inadimplˆncia;9;2;other, real_estate;2;7;1;0;0;0;0;0,244;0,719;0;0,963;5,4173;2;Moderado;Bom pagador;0;0;0;0;Carlos Santos Silva;CS;ago/22;Carlos
68;47;M;5560;0;3;0;Adultos (31-59 anos);M‚dia;1853,3333;0;Sem hist¢rico de inadimplˆncia;10;1;other;0;10;1;0;0;0;0;0,3404;0,9525;0;1,1754;6,4422;3;Alto;Bom pagador;0;0;0;0;Felipe Santos Silva;FS;set/22;Felipe
69;23;M;5400;1;0;0;Jovens (18-30 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;7;1;other;0;7;1;1;0;0;1;1092;1,0057;1;1367,1321;9,3119;4;Muito alto;Mau pagador;0;0;0;0;Thiago Santos Silva;TS;out/22;Thiago
70;56;F;6860;0;2;0;Adultos (31-59 anos);Alta;3430;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;1;5;1;0;0;0;0;0,4049;0,0143;0;0,5988;2,0674;2;Moderado;Bom pagador;0;0;0;0;Larissa Santos Silva;LS;nov/22;Larissa
71;54;M;0;0;1;0;Adultos (31-59 anos);Baixa;0;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;1;6;1;1;0;0;1;1267;0,5905;1;1585,3631;9,9795;4;Muito alto;Mau pagador;0;0;0;0;Andr‚ Santos Silva;AS;dez/22;Andr‚
72;69;M;3668;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;5;1;other;0;5;1;0;0;0;0;0,0074;0,0517;0;0,0984;1,798;1;Baixo;Bom pagador;0;0;0;0;Leonardo Santos Silva;LS;jan/23;Leonardo
73;52;F;5115;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;0;0;0;0;0,0006;0,0034;0;0,0079;1,839;1;Baixo;Bom pagador;0;0;0;0;Patr¡cia Santos Silva;PS;fev/23;Patr¡cia
74;76;M;5000;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;1;5;1;0;0;0;0;0,1484;0,0067;0;0,2216;1,839;1;Baixo;Bom pagador;0;0;0;0;Ricardo Santos Silva;RS;mar/23;Ricardo
75;46;M;12040;0;1;0;Adultos (31-59 anos);Alta;12040;0;Sem hist¢rico de inadimplˆncia;13;2;other, real_estate;2;11;1;1;0;0;1;0,3784;0,8519;1;1,8073;6,1084;3;Alto;Bom pagador;0;0;0;0;Daniel Santos Silva;DS;abr/23;Daniel
76;76;F;2714;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;21;2;other, real_estate;1;20;1;0;0;0;0;0,8309;0,2422;0;0,4878;2,1669;2;Moderado;Bom pagador;0;0;0;0;Tatiane Santos Silva;TS;mai/23;Tatiane
77;70;M;7500;0;2;0;Sˆnior (60+);Alta;3750;0;Sem hist¢rico de inadimplˆncia;12;2;other, real_estate;1;11;1;0;0;0;0;0,1948;0,0246;0;0,1687;1,716;1;Baixo;Bom pagador;0;0;0;0;Eduardo Santos Silva;ES;jun/23;Eduardo
78;67;F;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;2;other, real_estate;1;3;1;0;0;0;0;2247;1;0;4496;9,3119;4;Muito alto;Mau pagador;0;0;0;0;Yasmin Santos Silva;YS;jul/23;Yasmin
79;56;F;5583;0;1;0;Adultos (31-59 anos);M‚dia;5583;0;Sem hist¢rico de inadimplˆncia;13;2;other, real_estate;2;11;1;0;0;0;0;0,3847;0,2967;0;0,4867;2,2196;2;Moderado;Bom pagador;0;0;0;0;Amanda Santos Silva;AS;ago/23;Amanda
80;37;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;44;0,0282;0;110,0705;6,2782;4;Muito alto;Bom pagador;0;0;0;0;Diego Santos Silva;DS;set/23;Diego
81;51;F;11000;0;1;0;Adultos (31-59 anos);Alta;11000;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;3;5;1;0;0;0;0;0,4074;0,205;0;0,6805;2,2196;2;Moderado;Bom pagador;0;0;0;0;Carla Santos Silva;CS;out/23;Carla
82;43;M;1333;0;2;0;Adultos (31-59 anos);Baixa;666,5;0;Sem hist¢rico de inadimplˆncia;4;2;other, real_estate;1;3;1;0;0;0;0;2,3508;0,2442;0;5,19;6,4304;4;Muito alto;Bom pagador;0;0;0;0;Murilo Santos Silva;MS;nov/23;Murilo
83;79;M;2600;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;15;1;other;0;15;1;0;0;0;0;0,2326;0,0056;0;0,1489;1,7336;1;Baixo;Bom pagador;0;0;0;0;Samuel Santos Silva;SS;dez/23;Samuel
84;43;F;4000;0;3;0;Adultos (31-59 anos);M‚dia;1333,3333;0;Sem hist¢rico de inadimplˆncia;5;2;other, real_estate;1;4;1;1;0;0;1;0,4084;0,6037;1;2,5202;6,7936;3;Alto;Bom pagador;0;0;0;0;Fl via Santos Silva;FS;jan/24;Fl via
85;45;M;5666;0;3;0;Adultos (31-59 anos);M‚dia;1888,6667;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;1;7;1;0;0;0;0;0,1713;0,0432;0;0,2384;2,4656;1;Baixo;Bom pagador;0;0;0;0;Arthur Santos Silva;AS;fev/24;Arthur
86;38;F;4583;0;1;0;Adultos (31-59 anos);M‚dia;4583;0;Sem hist¢rico de inadimplˆncia;9;1;other;0;9;1;0;0;0;0;0,2773;0,8784;0;1,1556;5,757;3;Alto;Bom pagador;0;0;0;0;Helo¡sa Santos Silva;HS;mar/24;Helo¡sa
87;28;M;5500;0;0;0;Jovens (18-30 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;0;0;0;0;0,0809;0,0589;0;0,2797;2,4656;1;Baixo;Bom pagador;0;0;0;0;Bernardo Santos Silva;BS;abr/24;Bernardo
88;44;M;51140;0;3;0;Adultos (31-59 anos);Alta;17046,6667;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;1;6;1;0;0;2;2;0,021;0,8733;1;2,8678;5,8624;3;Alto;Bom pagador;0;1;0;0;Ot vio Santos Silva;OS;mai/24;Ot vio
89;43;M;9166;0;2;0;Adultos (31-59 anos);Alta;4583;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;1;6;1;0;0;0;0;0,2058;0,5928;0;0,9983;5,4173;2;Moderado;Bom pagador;0;0;0;0;Heitor Santos Silva;HS;jun/24;Heitor
90;58;F;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;1;other;0;8;1;0;0;0;0;1207;0,0663;0;1341,1848;5,4993;4;Muito alto;Bom pagador;0;0;0;0;Manuela Santos Silva;MS;jul/24;Manuela
91;80;M;6500;0;0;0;Sˆnior (60+);Alta;;0;Sem hist¢rico de inadimplˆncia;5;1;other;0;5;1;0;0;0;0;0;0,0004;0;0,0007;2,5066;1;Baixo;Bom pagador;0;0;0;0;Pietro Santos Silva;PS;ago/24;Pietro
92;25;M;5000;0;0;0;Jovens (18-30 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;2;1;other;0;2;1;0;0;0;0;0,001;0,0355;0;0,1218;1,7277;1;Baixo;Bom pagador;0;0;0;0;Yuri Santos Silva;YS;set/24;Yuri
