user_id;nome_cliente;primeiro_nome;iniciais;cliente_desde;idade;sexo;renda_mensal;faixa_salarial;historico_default;historico_pagamento;qtd_emprestimos_ativos;consultas_ultimo_ano;status_ultimo_emprestimo;faixa_risco_historico;previsao_default;score_credito_sintetico;score_credito_faixa;total_atrasos;resumo_personalizado
36;Tain  Silva Silva;Tain ;TS;jan/24;72;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
37;C‚sar Silva Silva;C‚sar;CS;fev/24;69;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
38;Aline Silva Silva;Aline;AS;mar/24;67;F;4453;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
39;Bruna Silva Silva;Bruna;BS;abr/24;50;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;4;Pago em dia;Muito alto;Mau pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos pontual.
40;Alan Silva Silva;Alan;AS;mai/24;49;M;5866;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
41;Daiane Silva Silva;Daiane;DS;jun/24;62;F;6500;Alta;Sem hist¢rico de inadimplˆncia;Requer aten‡Æo;16;1;Pago em dia;Muito alto;Bom pagador;535;Ruim;5;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos requer aten‡Æo.
42;Breno Silva Silva;Breno;BS;jul/24;34;M;5800;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;4;5;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
43;CauÆ Silva Silva;CauÆ;CS;ago/24;59;M;5416;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;6;0;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
44;Geovana Silva Silva;Geovana;GS;set/24;46;F;3732;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
45;Cl udio Silva Silva;Cl udio;CS;out/24;54;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;11;3;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
46;J‚ssica Silva Silva;J‚ssica;JS;nov/24;73;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;11;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
47;Elias Silva Silva;Elias;ES;dez/24;49;M;8900;Alta;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
48;Fernando Silva Silva;Fernando;FS;jan/21;53;M;4166;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;16;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
49;J£lio Silva Silva;J£lio;JS;fev/21;83;M;4694;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
50;Paula Silva Silva;Paula;PS;mar/21;34;F;1000;Baixa;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Alto;Bom pagador;680;Bom;0;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
51;M rcio Silva Silva;M rcio;MS;abr/21;65;M;3750;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
52;Nicolas Silva Silva;Nicolas;NS;mai/21;72;M;5866;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;17;1;Pago em dia;Alto;Bom pagador;650;Regular;2;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
53;Talita Silva Silva;Talita;TS;jun/21;84;F;3001;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;5;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
54;S‚rgio Silva Silva;S‚rgio;SS;jul/21;71;M;6000;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;11;4;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
55;Tadeu Silva Silva;Tadeu;TS;ago/21;56;M;12000;Alta;Sem hist¢rico de inadimplˆncia;Pontual;4;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
56;Z‚lia Silva Silva;Z‚lia;ZS;set/21;41;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;0;5;Sem empr‚stimo ativo;Muito alto;Mau pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos pontual.
57;William Silva Silva;William;WS;out/21;45;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;7;4;Pago em dia;Muito alto;Mau pagador;580;Regular;2;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos com ocorrˆncias.
58;Lorena Silva Silva;Lorena;LS;nov/21;65;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;9;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
59;Mirela Silva Silva;Mirela;MS;dez/21;57;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;0;5;Sem empr‚stimo ativo;Muito alto;Mau pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos pontual.
60;Gabriel Santos Silva;Gabriel;GS;jan/22;50;M;5000;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;15;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
61;Beatriz Santos Silva;Beatriz;BS;fev/22;49;F;6600;Alta;Sem hist¢rico de inadimplˆncia;Pontual;15;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
62;Mateus Santos Silva;Mateus;MS;mar/22;88;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
63;Pedro Santos Silva;Pedro;PS;abr/22;79;M;4273;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;6;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
64;Eduarda Santos Silva;Eduarda;ES;mai/22;48;F;15000;Alta;Sem hist¢rico de inadimplˆncia;Pontual;12;5;Pago em dia;Alto;Bom pagador;680;Bom;0;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
65;Rafael Santos Silva;Rafael;RS;jun/22;37;M;6232;Alta;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
66;Gabriela Santos Silva;Gabriela;GS;jul/22;59;F;3213;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;17;1;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
67;Carlos Santos Silva;Carlos;CS;ago/22;55;M;10916;Alta;Sem hist¢rico de inadimplˆncia;Pontual;9;4;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
68;Felipe Santos Silva;Felipe;FS;set/22;47;M;5560;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;10;5;Pago em dia;Alto;Bom pagador;680;Bom;0;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
69;Thiago Santos Silva;Thiago;TS;out/22;23;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;7;6;Pago em dia;Muito alto;Mau pagador;595;Regular;1;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos com ocorrˆncias.
70;Larissa Santos Silva;Larissa;LS;nov/22;56;F;6860;Alta;Sem hist¢rico de inadimplˆncia;Pontual;6;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
71;Andr‚ Santos Silva;Andr‚;AS;dez/22;54;M;0;Baixa;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;7;3;Pago em dia;Muito alto;Mau pagador;595;Regular;1;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos com ocorrˆncias.
72;Leonardo Santos Silva;Leonardo;LS;jan/23;69;M;3668;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;5;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
73;Patr¡cia Santos Silva;Patr¡cia;PS;fev/23;52;F;5115;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
74;Ricardo Santos Silva;Ricardo;RS;mar/23;76;M;5000;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;6;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
75;Daniel Santos Silva;Daniel;DS;abr/23;46;M;12040;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;13;5;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
76;Tatiane Santos Silva;Tatiane;TS;mai/23;76;F;2714;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;21;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
77;Eduardo Santos Silva;Eduardo;ES;jun/23;70;M;7500;Alta;Sem hist¢rico de inadimplˆncia;Pontual;12;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
78;Yasmin Santos Silva;Yasmin;YS;jul/23;67;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;5;Pago em dia;Muito alto;Mau pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos pontual.
79;Amanda Santos Silva;Amanda;AS;ago/23;56;F;5583;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;13;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
80;Diego Santos Silva;Diego;DS;set/23;37;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
81;Carla Santos Silva;Carla;CS;out/23;51;F;11000;Alta;Sem hist¢rico de inadimplˆncia;Pontual;8;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
82;Murilo Santos Silva;Murilo;MS;nov/23;43;M;1333;Baixa;Sem hist¢rico de inadimplˆncia;Pontual;4;2;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
83;Samuel Santos Silva;Samuel;SS;dez/23;79;M;2600;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;15;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
84;Fl via Santos Silva;Fl via;FS;jan/24;43;F;4000;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;5;4;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
85;Arthur Santos Silva;Arthur;AS;fev/24;45;M;5666;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
86;Helo¡sa Santos Silva;Helo¡sa;HS;mar/24;38;F;4583;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;9;5;Pago em dia;Alto;Bom pagador;680;Bom;0;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
87;Bernardo Santos Silva;Bernardo;BS;abr/24;28;M;5500;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
88;Ot vio Santos Silva;Ot vio;OS;mai/24;44;M;51140;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;7;5;Pago em dia;Alto;Bom pagador;650;Regular;2;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
89;Heitor Santos Silva;Heitor;HS;jun/24;43;M;9166;Alta;Sem hist¢rico de inadimplˆncia;Pontual;7;3;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
90;Manuela Santos Silva;Manuela;MS;jul/24;58;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
91;Pietro Santos Silva;Pietro;PS;ago/24;80;M;6500;Alta;Sem hist¢rico de inadimplˆncia;Pontual;5;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
92;Yuri Santos Silva;Yuri;YS;set/24;25;M;5000;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;2;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
